# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# count	lemma	cap_ratio	reason
7807	ralph	0.998	cap_ratio=1.00, oov
7804	clarke	0.999	cap_ratio=1.00, oov
7795	trevor	0.998	cap_ratio=1.00, oov
7761	alison	0.999	cap_ratio=1.00, oov
7755	ari	0.998	cap_ratio=1.00, oov
7752	finch	0.998	cap_ratio=1.00, oov
7748	fiona	0.999	cap_ratio=1.00, oov
7747	rosie	1.000	cap_ratio=1.00, oov
7746	saul	0.999	cap_ratio=1.00, oov
7740	reese	1.000	cap_ratio=1.00, oov
7724	hope	0.978	cap_ratio=0.98, oov
7703	marge	1.000	cap_ratio=1.00, oov
7702	may	0.970	cap_ratio=0.97, oov
7697	benny	1.000	cap_ratio=1.00, oov
7696	pablo	0.997	cap_ratio=1.00, oov
7691	donald	0.992	cap_ratio=0.99, oov
7643	cody	1.000	cap_ratio=1.00, oov
7636	brody	1.000	cap_ratio=1.00, oov
7635	vic	0.998	cap_ratio=1.00, oov
7624	wade	0.999	cap_ratio=1.00, oov
7590	bella	0.950	cap_ratio=0.95, oov
7575	percy	1.000	cap_ratio=1.00, oov
7565	philip	0.994	cap_ratio=0.99, oov
7505	lester	0.999	cap_ratio=1.00, oov
7499	bo	0.967	cap_ratio=0.97, oov
7467	lloyd	1.000	cap_ratio=1.00, oov
7411	phoebe	1.000	cap_ratio=1.00, oov
7396	frodo	1.000	cap_ratio=1.00, oov
7380	mick	0.998	cap_ratio=1.00, oov
7356	craig	0.998	cap_ratio=1.00, oov
7331	tess	1.000	cap_ratio=1.00, oov
7316	rocky	0.994	cap_ratio=0.99, oov
7315	w	0.950	cap_ratio=0.95, oov
7289	cindy	0.998	cap_ratio=1.00, oov
7234	rex	0.986	cap_ratio=0.99, oov
7221	spock	0.999	cap_ratio=1.00, oov
7210	angie	1.000	cap_ratio=1.00, oov
7206	patty	0.998	cap_ratio=1.00, oov
7161	flynn	1.000	cap_ratio=1.00, oov
7149	oscar	0.995	cap_ratio=1.00, oov
7141	april	0.998	cap_ratio=1.00, oov
7129	graham	0.999	cap_ratio=1.00, oov
7122	deb	0.999	cap_ratio=1.00, oov
7114	bell	0.985	cap_ratio=0.98, oov
7087	virginia	0.996	cap_ratio=1.00, oov
7082	jenna	0.996	cap_ratio=1.00, oov
7044	hanna	1.000	cap_ratio=1.00, oov
7033	richie	1.000	cap_ratio=1.00, oov
7021	leon	0.998	cap_ratio=1.00, oov
7010	judy	0.997	cap_ratio=1.00, oov
6984	violet	0.995	cap_ratio=0.99, oov
6938	harper	0.998	cap_ratio=1.00, oov
6936	kane	0.996	cap_ratio=1.00, oov
6936	porter	0.992	cap_ratio=0.99, oov
6931	sherlock	0.998	cap_ratio=1.00, oov
6927	zack	0.999	cap_ratio=1.00, oov
6908	dallas	0.998	cap_ratio=1.00, oov
6902	melissa	0.998	cap_ratio=1.00, oov
6895	lenny	0.999	cap_ratio=1.00, oov
6890	super-homem	0.924	cap_ratio=0.92, oov
6831	jon	0.998	cap_ratio=1.00, oov
6830	naomi	0.999	cap_ratio=1.00, oov
6817	doyle	1.000	cap_ratio=1.00, oov
6809	alfred	0.996	cap_ratio=1.00, oov
6793	merlin	0.979	cap_ratio=0.98, oov
6780	bernie	1.000	cap_ratio=1.00, oov
6763	beckett	1.000	cap_ratio=1.00, oov
6749	beach	0.990	cap_ratio=0.99, oov
6741	barnes	0.998	cap_ratio=1.00, oov
6721	hunt	0.998	cap_ratio=1.00, oov
6716	stu	0.997	cap_ratio=1.00, oov
6705	junior	0.964	cap_ratio=0.96, oov
6672	wells	0.999	cap_ratio=1.00, oov
6670	brooke	0.995	cap_ratio=0.99, oov
6668	troy	0.999	cap_ratio=1.00, oov
6661	guy	0.956	cap_ratio=0.96, oov
6635	jo	0.990	cap_ratio=0.99, oov
6597	gwen	0.993	cap_ratio=0.99, oov
6591	donnie	1.000	cap_ratio=1.00, oov
6536	duncan	1.000	cap_ratio=1.00, oov
6533	diane	0.998	cap_ratio=1.00, oov
6525	ward	0.999	cap_ratio=1.00, oov
6520	east	0.995	cap_ratio=1.00, oov
6520	roman	0.996	cap_ratio=1.00, oov
6519	long	0.931	cap_ratio=0.93, oov
6515	felix	0.992	cap_ratio=0.99, oov
6514	colin	1.000	cap_ratio=1.00, oov
6503	kira	0.999	cap_ratio=1.00, oov
6485	allison	0.995	cap_ratio=1.00, oov
6466	pt-pt	0.954	cap_ratio=0.95, oov
6442	gotham	1.000	cap_ratio=1.00, oov
6411	kansas	0.998	cap_ratio=1.00, oov
6406	jeffrey	0.996	cap_ratio=1.00, oov
6405	adrian	1.000	cap_ratio=1.00, oov
6405	brandon	1.000	cap_ratio=1.00, oov
6405	edith	1.000	cap_ratio=1.00, oov
6398	jamal	1.000	cap_ratio=1.00, oov
6393	buddy	0.987	cap_ratio=0.99, oov
6382	louise	0.999	cap_ratio=1.00, oov
6373	morris	0.999	cap_ratio=1.00, oov
6353	becky	0.999	cap_ratio=1.00, oov
6346	sharon	0.999	cap_ratio=1.00, oov
6342	chandler	1.000	cap_ratio=1.00, oov
6308	elaine	0.998	cap_ratio=1.00, oov
6305	queen	0.967	cap_ratio=0.97, oov
6304	archie	1.000	cap_ratio=1.00, oov
6252	alec	0.999	cap_ratio=1.00, oov
6251	burt	1.000	cap_ratio=1.00, oov
6250	becca	1.000	cap_ratio=1.00, oov
6241	alexander	0.999	cap_ratio=1.00, oov
6232	kara	0.993	cap_ratio=0.99, oov
6224	enterprise	0.999	cap_ratio=1.00, oov
6216	tucker	0.997	cap_ratio=1.00, oov
6186	hunter	0.997	cap_ratio=1.00, oov
6180	avery	1.000	cap_ratio=1.00, oov
6155	kurt	0.997	cap_ratio=1.00, oov
6152	lydia	1.000	cap_ratio=1.00, oov
6136	bay	0.987	cap_ratio=0.99, oov
6095	cassie	0.999	cap_ratio=1.00, oov
6089	pat	0.996	cap_ratio=1.00, oov
6076	marvin	1.000	cap_ratio=1.00, oov
6072	buck	0.995	cap_ratio=0.99, oov
6047	z	0.947	cap_ratio=0.95, oov
6037	robbie	1.000	cap_ratio=1.00, oov
6023	gray	0.996	cap_ratio=1.00, oov
6019	wyatt	1.000	cap_ratio=1.00, oov
6004	grand	0.963	cap_ratio=0.96, oov
6002	lauren	0.995	cap_ratio=1.00, oov
5985	clyde	0.995	cap_ratio=0.99, oov
5985	herr	0.993	cap_ratio=0.99, oov
5974	dna	0.996	cap_ratio=1.00, oov
5953	crane	0.999	cap_ratio=1.00, oov
5951	foster	0.998	cap_ratio=1.00, oov
5930	srª	0.996	cap_ratio=1.00, oov
5905	scotty	0.999	cap_ratio=1.00, oov
5903	glenn	0.995	cap_ratio=1.00, oov
5899	nikki	1.000	cap_ratio=1.00, oov
5898	zach	1.000	cap_ratio=1.00, oov
5871	madison	0.995	cap_ratio=1.00, oov
5867	fisher	1.000	cap_ratio=1.00, oov
5840	kitty	0.993	cap_ratio=0.99, oov
5831	bud	0.995	cap_ratio=0.99, oov
5830	egipto	0.998	cap_ratio=1.00, oov
5811	perry	0.998	cap_ratio=1.00, oov
5789	nsa	0.999	cap_ratio=1.00, oov
5786	amber	0.999	cap_ratio=1.00, oov
5754	carmen	0.999	cap_ratio=1.00, oov
5749	cleveland	0.997	cap_ratio=1.00, oov
5745	campbell	1.000	cap_ratio=1.00, oov
5742	freddie	1.000	cap_ratio=1.00, oov
5724	lionel	0.998	cap_ratio=1.00, oov
5718	jen	0.999	cap_ratio=1.00, oov
5709	han	0.961	cap_ratio=0.96, oov
5708	anton	1.000	cap_ratio=1.00, oov
5694	eve	0.987	cap_ratio=0.99, oov
5691	reggie	0.999	cap_ratio=1.00, oov
5685	lori	0.998	cap_ratio=1.00, oov
5652	brenda	0.999	cap_ratio=1.00, oov
5650	piper	0.996	cap_ratio=1.00, oov
5630	evelyn	0.999	cap_ratio=1.00, oov
5627	hannibal	0.993	cap_ratio=0.99, oov
5614	archer	1.000	cap_ratio=1.00, oov
5614	conrad	1.000	cap_ratio=1.00, oov
5602	poirot	1.000	cap_ratio=1.00, oov
5597	artie	0.999	cap_ratio=1.00, oov
5596	amelia	0.996	cap_ratio=1.00, oov
5582	haley	1.000	cap_ratio=1.00, oov
5562	jax	1.000	cap_ratio=1.00, oov
5561	laurel	0.998	cap_ratio=1.00, oov
5533	joy	0.980	cap_ratio=0.98, oov
5520	cyrus	0.999	cap_ratio=1.00, oov
5512	veronica	0.999	cap_ratio=1.00, oov
5507	erica	1.000	cap_ratio=1.00, oov
5487	eleanor	0.998	cap_ratio=1.00, oov
5482	iá	0.979	cap_ratio=0.98, oov
5481	bennett	1.000	cap_ratio=1.00, oov
5479	stella	0.994	cap_ratio=0.99, oov
5472	phillip	0.998	cap_ratio=1.00, oov
5466	road	0.966	cap_ratio=0.97, oov
5464	chad	0.992	cap_ratio=0.99, oov
5455	ruby	0.996	cap_ratio=1.00, oov
5445	hughes	1.000	cap_ratio=1.00, oov
5431	wall	0.981	cap_ratio=0.98, oov
5423	lake	0.998	cap_ratio=1.00, oov
5417	fitz	1.000	cap_ratio=1.00, oov
5409	denise	1.000	cap_ratio=1.00, oov
5404	beverly	0.993	cap_ratio=0.99, oov
5397	nikita	1.000	cap_ratio=1.00, oov
5378	dj	0.994	cap_ratio=0.99, oov
5347	nadia	0.999	cap_ratio=1.00, oov
5338	grayson	1.000	cap_ratio=1.00, oov
5328	pierce	0.999	cap_ratio=1.00, oov
5315	daniels	0.999	cap_ratio=1.00, oov
5308	mills	0.999	cap_ratio=1.00, oov
5305	andrea	0.993	cap_ratio=0.99, oov
5299	hans	0.999	cap_ratio=1.00, oov
